Input Size,delta1.0,delta0.5,delta0.3,delta0.25,delta0.2
100000,5.406304,5.338016,5.475744,5.742752,5.564736
200000,5.24672,5.578624,6.20144,6.137056,6.248448
300000,5.423328,6.05696,6.402624,6.790944,7.018496
400000,5.921504,6.416384,7.216448,7.565408,8.17392
500000,6.060288,6.504448,7.579648,8.022176,8.75472
600000,6.385728,7.127008,8.485376,8.546016,9.483744
700000,6.728064,7.782848,8.898016,9.294304,9.85168
800000,7.14544,7.944416,9.176064,9.943488,10.768
