Input Size,delta1.0,delta0.5,delta0.3,delta0.25,delta0.2
100000,3.687072,3.688288,4.0488,4.052768,4.057088
200000,4.65904,5.458848,5.555904,5.548032,5.552448
300000,6.877312,6.878816,6.873088,6.879808,6.883584
400000,8.1904,8.200096,8.183808,8.199744,8.196256
500000,10.076352,10.079904,10.099872,10.086048,10.06592
600000,11.837184,11.802976,11.839488,11.798528,11.847904
700000,12.75952,12.727008,12.709888,12.767456,12.7248
800000,14.184704,14.202912,14.220512,14.180352,14.210912
