Input Size,delta1.0,delta0.5,delta0.3,delta0.25,delta0.2
1000000,16.701729,16.963585,16.643681,16.940384,16.703009
2000000,30.148512,30.148479,29.903328,30.278784,29.702335
3000000,42.885025,43.157631,42.754047,42.759327,42.633598
4000000,56.257664,55.408192,55.770367,55.482529,55.499199
5000000,68.433571,68.796707,68.641571,68.870148,68.636833
6000000,65.945122,81.674721,81.568001,81.623741,81.692062
7000000,95.285667,94.439423,93.870079,94.287331,113.383842
8000000,108.419075,107.363586,106.467041,107.404701,129.603424
