Input Size,delta1.0,delta0.5,delta0.3,delta0.25,delta0.2
1000000,7.718528,9.08112,10.437504,11.345056,14.064384
2000000,10.44896,12.957472,16.207008,17.66976,21.717184
3000000,13.195616,18.765087,23.017536,23.800257,27.205248
4000000,16.255009,21.221312,26.892223,29.619936,35.219265
5000000,20.0816,24.747776,33.59856,37.791775,42.13792
6000000,19.889729,28.739231,38.093025,42.906624,49.853374
7000000,28.745089,32.802753,44.161442,51.819519,56.313889
8000000,27.654144,36.440063,49.604897,54.196194,63.526718
