Input Size,delta1.0,delta0.5,delta0.3,delta0.25,delta0.2
1000000,2.163848987786272,1.8680058186655388,1.5946035565591161,1.4931952737826946,1.187610420762118
2000000,2.885312222460417,2.3267253828524574,1.845086273789709,1.713593393458655,1.3676881404145216
3000000,3.24994490594452,2.299889736722244,1.857455420076241,1.796590977988179,1.5671093312584394
4000000,3.460943269856079,2.6109691992653423,2.0738474093420987,1.873148172906248,1.5758193420561162
5000000,3.407774828698908,2.7799147284992394,2.0429914555861917,1.8223581189293172,1.6288614388180527
6000000,3.3155364761380106,2.84192437160201,2.141284421491861,1.9023575707098277,1.6386466039389833
7000000,3.314850303646651,2.879009057562943,2.125611727080832,1.8195331183988797,2.0134258885938423
8000000,3.920536285628657,2.9463062673629294,2.1463010194336256,1.9817757128849307,2.04014040202738
