Input Size,delta1.0,delta0.5,delta0.3,delta0.25,delta0.2
1000000,17.111521,17.112961,17.074207,17.083488,17.131041
2000000,30.363647,30.363647,30.365696,30.543873,30.461088
3000000,43.575394,43.615585,43.446815,42.944511,42.731262
4000000,55.592991,55.49984,55.403774,55.533569,55.433407
5000000,64.886787,68.765663,68.098145,68.776192,68.423683
6000000,82.696831,81.463936,81.880257,81.246208,81.738464
7000000,95.695007,93.228577,92.52784,94.355423,113.438911
8000000,108.488831,107.197662,107.124733,107.216034,129.440506
