Input Size,delta1,delta0.5,delta0.3,delta0.25,delta0.1
100000,3.68272,3.682208,4.048896,4.046528,4.056096
200000,4.64896,5.52528,5.54592,5.54912,5.542048
300000,6.87568,6.882848,6.880928,6.885568,6.878912
400000,8.188032,8.094912,8.196096,8.20496,8.196096
500000,10.075808,10.079328,10.092544,10.113056,10.060992
600000,11.843232,11.810816,11.831488,11.808704,11.856
700000,12.764928,12.713664,12.707936,12.77952,12.759744
800000,14.208,14.06912,14.227712,14.172928,14.197024
