Input Size,delta1,delta0.5,delta0.3,delta0.25,delta0.1
100000,4.861536,5.062464,5.536096,5.468032,6.214688
200000,5.05296,5.608576,12.829088,6.455168,7.379488
300000,5.572608,6.006944,6.533152,7.301984,8.841216
400000,5.627744,6.715712,7.192288,7.3216,10.169728
500000,5.930432,7.158144,7.575776,8.464544,12.455392
600000,6.342944,6.98128,8.644928,8.719616,12.724224
700000,6.612768,7.600032,8.538048,9.47632,14.217696
800000,7.299616,8.129728,9.385952,10.522528,15.432864
