Input Size,delta1,delta0.5,delta0.3,delta0.25,delta0.2
100000,5.96032,5.095424,5.572192,5.64624,5.44432
200000,5.219968,5.745984,6.212704,6.80624,6.8912
300000,5.559168,6.471136,7.311104,7.930112,7.476192
400000,5.971168,6.289024,7.174272,7.326016,7.975392
500000,6.580256,6.84352,8.0032,8.525984,9.021632
600000,6.855488,7.251072,9.004832,8.948096,9.684224
700000,6.4512,8.777344,9.025984,9.656192,10.264576
800000,7.40624,8.618208,10.912,10.213408,11.161632
