Input Size,delta1,delta0.5,delta0.3,delta0.25
10000,5.116064,5.782144,5.054848,4.734624
20000,5.670336,4.917088,5.47888,5.246176
30000,4.975392,5.265568,4.890816,4.771392
40000,4.903552,6.05648,5.155936,5.020416
