Input Size,delta1,delta0.5,delta0.3,delta0.25,delta0.2
100000,5.268224,5.247296,6.064384,5.431744,5.520576
200000,5.424448,6.164,7.662592,6.457344,6.545696
300000,5.993216,6.447104,6.852576,6.9224,7.19696
400000,5.92272,6.88128,6.988288,7.501824,8.224896
500000,6.279424,7.27584,7.575168,8.059392,8.590848
600000,6.206848,7.165792,8.130432,8.80016,9.396448
700000,6.562848,7.751552,8.69376,9.467712,10.1352
800000,6.920192,8.21168,9.391936,9.95136,11.01408
