Input Size,delta1,delta0.5,delta0.3,delta0.25,delta0.2
100000,3.690144,3.691648,4.0448,4.051744,4.046528
200000,4.658624,6.252544,5.553952,5.557248,5.549696
300000,6.88048,6.87952,6.879904,6.880256,6.881728
400000,8.19056,8.20256,8.188864,8.198432,8.204448
500000,10.070016,10.098688,10.096608,10.110976,10.065632
600000,11.837824,11.793248,11.82432,11.825088,11.854656
700000,12.76544,12.703744,12.71392,12.780096,12.741632
800000,14.196512,14.207456,14.221184,14.175072,14.21392
