Input Size,delta1.0,delta0.5,delta0.3,delta0.25,delta0.2
100000,5.29536,5.311904,6.153504,10.571168,5.443136
200000,5.792928,6.28448,6.017024,6.485312,6.559168
300000,5.599264,6.359392,6.586368,6.787104,7.163392
400000,5.856384,6.257568,6.893152,7.202144,7.92592
500000,6.005824,7.044608,7.686912,8.112128,8.568832
600000,6.417312,6.922336,8.536096,8.87296,9.34672
700000,6.629376,7.609728,8.87584,9.478144,10.148032
800000,6.811552,7.931872,9.199424,9.97376,10.684032
