Input Size,delta1.0,delta0.5,delta0.3,delta0.25,delta0.2
100000,3.70112,3.694432,4.053504,4.053152,4.05056
200000,4.669408,5.538176,5.566464,5.556416,5.56176
300000,6.893312,6.888,6.89392,6.898144,6.893568
400000,8.21664,8.243392,8.229056,8.227456,8.23248
500000,10.110272,10.131552,10.109408,10.114432,10.110496
600000,11.862016,11.816832,11.841248,11.80496,11.85792
700000,12.804832,12.758656,12.757216,12.817824,12.769856
800000,14.23344,14.236352,14.213184,14.166304,14.2032
